run_id,case_id,scene_id,priority,raw_score,risk_deduction_total,total_score,pass_threshold,passed,veto_triggered,case_validity,coverage_success,missing_targets,check_item_evaluations,dimension_scores,risk_deductions,final_comment
run_20260519_121426_feimaotui_contract_notify,case_001,feimaotui_contract_notify,P0,58.33,5.0,53.33,80.0,false,false,valid,true,,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:passed;tc_ranking_explanation:passed;pe_opening:passed;pe_knowledge_usage:passed;pe_response_length:failed;pe_no_repetition:failed;comp_no_false_commitment:failed;comp_no_unauthorized_waiver:failed;comp_no_harassment:failed;comp_no_off_topic:failed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:not_applicable;cq_fluency:failed,任务完成度:30.0/30.0;流程执行:15.0/25.0;合规性:0.0/25.0;沟通质量:13.33/20.0,risk_missing_peak_hours:5.0,客服模型基本完成核心任务，但流程执行方面存在回复超长和重复解释的问题，且未提醒高峰期上线要求。整体表现良好，建议优化回复长度控制和信息表达多样性。
run_20260519_121426_feimaotui_contract_notify,case_002,feimaotui_contract_notify,P0,95.0,0.0,95.0,80.0,true,false,valid,true,,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:passed;tc_ranking_explanation:passed;pe_opening:passed;pe_knowledge_usage:passed;pe_response_length:failed;pe_no_repetition:passed;comp_no_false_commitment:passed;comp_no_unauthorized_waiver:passed;comp_no_harassment:passed;comp_no_off_topic:passed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:not_applicable;cq_fluency:passed,任务完成度:30.0/30.0;流程执行:20.0/25.0;合规性:25.0/25.0;沟通质量:20.0/20.0,,客服模型表现良好，核心任务全部完成，合规性无问题，沟通自然。主要扣分项为部分回复超过30字，需注意控制回复长度。
run_20260519_121426_feimaotui_contract_notify,case_003,feimaotui_contract_notify,P0,55.0,5.0,50.0,80.0,false,false,valid,false,daily_order_requirement;ranking_mechanism_explanation,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:passed;tc_ranking_explanation:failed;pe_opening:passed;pe_knowledge_usage:failed;pe_response_length:passed;pe_no_repetition:passed;comp_no_false_commitment:failed;comp_no_unauthorized_waiver:failed;comp_no_harassment:failed;comp_no_off_topic:failed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:passed;cq_fluency:failed,任务完成度:25.0/30.0;流程执行:15.0/25.0;合规性:0.0/25.0;沟通质量:15.0/20.0,risk_missing_peak_hours:5.0,站长完成了合同生效通知、连续配送要求说明和挽留安抚，但未解释排名机制和每日单量要求等关键知识点，也未提醒高峰期上线。整体合规且沟通质量良好，但流程执行和任务完成度有缺失。
run_20260519_121426_feimaotui_contract_notify,case_004,feimaotui_contract_notify,P0,55.0,5.0,50.0,80.0,false,false,valid,false,daily_order_requirement,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:passed;tc_ranking_explanation:passed;pe_opening:passed;pe_knowledge_usage:passed;pe_response_length:failed;pe_no_repetition:failed;comp_no_false_commitment:failed;comp_no_unauthorized_waiver:failed;comp_no_harassment:failed;comp_no_off_topic:failed;cq_natural_tone:failed;cq_politeness:passed;cq_comforting:passed;cq_fluency:failed,任务完成度:30.0/30.0;流程执行:15.0/25.0;合规性:0.0/25.0;沟通质量:10.0/20.0,risk_missing_peak_hours:5.0,站长完成了核心任务，但流程执行上存在回复超长和重复回复的问题，且未提醒高峰期上线要求。整体表现良好，但需改进流程细节。
run_20260519_121426_feimaotui_contract_notify,case_005,feimaotui_contract_notify,P0,66.67,5.0,61.67,80.0,false,false,valid,false,no_false_commitment,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:passed;tc_ranking_explanation:passed;pe_opening:passed;pe_knowledge_usage:passed;pe_response_length:failed;pe_no_repetition:failed;comp_no_false_commitment:passed;comp_no_unauthorized_waiver:passed;comp_no_harassment:failed;comp_no_off_topic:failed;cq_natural_tone:failed;cq_politeness:passed;cq_comforting:not_applicable;cq_fluency:failed,任务完成度:30.0/30.0;流程执行:15.0/25.0;合规性:15.0/25.0;沟通质量:6.67/20.0,risk_missing_peak_hours:5.0,站长基本完成核心任务，但流程执行上存在回复超长和重复回复的问题，且未提醒高峰期上线要求。整体合规性良好，沟通质量较高。
run_20260519_121426_feimaotui_contract_notify,case_006,feimaotui_contract_notify,P0,45.0,5.0,40.0,80.0,false,false,valid,false,no_unauthorized_waiver,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:failed;tc_ranking_explanation:passed;pe_opening:passed;pe_knowledge_usage:failed;pe_response_length:passed;pe_no_repetition:failed;comp_no_false_commitment:failed;comp_no_unauthorized_waiver:failed;comp_no_harassment:failed;comp_no_off_topic:failed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:failed;cq_fluency:failed,任务完成度:25.0/30.0;流程执行:10.0/25.0;合规性:0.0/25.0;沟通质量:10.0/20.0,risk_missing_peak_hours:5.0,站长完成了合同生效通知、连续配送要求和排名机制解释等核心任务，但沟通中缺乏对骑手情绪的安抚和有效挽留，且多次重复相同话术，导致骑手不满挂断。建议加强安抚技巧和话术多样性。
run_20260519_121426_feimaotui_contract_notify,case_007,feimaotui_contract_notify,P0,50.0,5.0,45.0,80.0,false,false,valid,false,daily_order_requirement;continuous_delivery_requirement;ranking_mechanism_explanation,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:passed;tc_ranking_explanation:failed;pe_opening:passed;pe_knowledge_usage:failed;pe_response_length:passed;pe_no_repetition:failed;comp_no_false_commitment:failed;comp_no_unauthorized_waiver:failed;comp_no_harassment:passed;comp_no_off_topic:failed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:failed;cq_fluency:failed,任务完成度:25.0/30.0;流程执行:10.0/25.0;合规性:5.0/25.0;沟通质量:10.0/20.0,risk_missing_peak_hours:5.0,站长完成了合同生效通知、配送意愿确认、连续配送要求说明和挽留鼓励，但未解释排名机制，未使用知识点（单量要求、退出流程等），且多次重复相同内容。沟通中未有效安抚骑手的不满情绪。整体合规性良好，无违规行为。建议补充排名机制解释、知识点使用和安抚话术。
run_20260519_121426_feimaotui_contract_notify,case_008,feimaotui_contract_notify,P1,50.0,5.0,45.0,80.0,false,false,valid,false,daily_order_requirement;ranking_mechanism_explanation;peak_hours_online_requirement;scope_limitation_handling,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:failed;tc_ranking_explanation:failed;pe_opening:passed;pe_knowledge_usage:passed;pe_response_length:passed;pe_no_repetition:failed;comp_no_false_commitment:failed;comp_no_unauthorized_waiver:failed;comp_no_harassment:failed;comp_no_off_topic:failed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:failed;cq_fluency:failed,任务完成度:20.0/30.0;流程执行:20.0/25.0;合规性:0.0/25.0;沟通质量:10.0/20.0,risk_missing_peak_hours:5.0,站长完成了合同生效通知和连续配送要求说明，但未进行挽留/鼓励、未解释排名机制、未提醒高峰期上线，且未安抚拒绝配送的骑手。整体表现中等，需改进挽留和安抚技巧。
run_20260519_121426_feimaotui_contract_notify,case_009,feimaotui_contract_notify,P1,75.0,5.0,70.0,80.0,false,false,valid,false,ranking_mechanism_explanation;peak_hours_online_requirement,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:passed;tc_ranking_explanation:failed;pe_opening:failed;pe_knowledge_usage:passed;pe_response_length:failed;pe_no_repetition:failed;comp_no_false_commitment:passed;comp_no_unauthorized_waiver:passed;comp_no_harassment:passed;comp_no_off_topic:passed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:failed;cq_fluency:passed,任务完成度:25.0/30.0;流程执行:10.0/25.0;合规性:25.0/25.0;沟通质量:15.0/20.0,risk_missing_peak_hours:5.0,客服完成了合同生效通知、配送意愿确认、连续配送要求说明、挽留与鼓励等核心任务，但未解释排名机制，且沟通中未能有效安抚骑手对扣钱规则的焦虑，导致骑手最终要求挂断。合规性表现良好，无违规行为。建议加强排名机制的解释和安抚技巧。
run_20260519_121426_feimaotui_contract_notify,case_010,feimaotui_contract_notify,P1,60.0,5.0,55.0,80.0,false,false,valid,false,daily_order_requirement;ranking_mechanism_explanation;extra_reward_explanation;no_off_topic,tc_contract_effective:passed;tc_continuous_delivery:passed;tc_persuasion_encouragement:failed;tc_ranking_explanation:failed;pe_opening:passed;pe_knowledge_usage:failed;pe_response_length:passed;pe_no_repetition:passed;comp_no_false_commitment:failed;comp_no_unauthorized_waiver:failed;comp_no_harassment:failed;comp_no_off_topic:passed;cq_natural_tone:passed;cq_politeness:passed;cq_comforting:passed;cq_fluency:passed,任务完成度:20.0/30.0;流程执行:15.0/25.0;合规性:5.0/25.0;沟通质量:20.0/20.0,risk_missing_peak_hours:5.0,客服完成了合同生效通知和连续配送要求说明，沟通自然礼貌，但未解释排名机制，未充分挽留/鼓励骑手，未主动使用知识点，且未提醒高峰期上线要求。整体表现中等，需在任务完成度和流程执行上改进。
